x;f(x);Spline
-1.000000;0.038462;0.038462
-0.979798;0.040000;0.040245
-0.959596;0.041631;0.042045
-0.939394;0.043362;0.043880
-0.919192;0.045202;0.045764
-0.898990;0.047160;0.047717
-0.878788;0.049245;0.049754
-0.858586;0.051469;0.051892
-0.838384;0.053844;0.054149
-0.818182;0.056384;0.056541
-0.797980;0.059104;0.059085
-0.777778;0.062021;0.061805
-0.757576;0.065155;0.064740
-0.737374;0.068526;0.067935
-0.717172;0.072158;0.071435
-0.696970;0.076079;0.075283
-0.676768;0.080319;0.079524
-0.656566;0.084912;0.084202
-0.636364;0.089896;0.089361
-0.616162;0.095316;0.095045
-0.595960;0.101223;0.101298
-0.575758;0.107673;0.108165
-0.555556;0.114731;0.115686
-0.535354;0.122473;0.123903
-0.515152;0.130984;0.132857
-0.494949;0.140363;0.142589
-0.474747;0.150724;0.153142
-0.454545;0.162198;0.164556
-0.434343;0.174937;0.176873
-0.414141;0.189114;0.190134
-0.393939;0.204930;0.204383
-0.373737;0.222618;0.219881
-0.353535;0.242443;0.237255
-0.333333;0.264706;0.257170
-0.313131;0.289748;0.280288
-0.292929;0.317946;0.307273
-0.272727;0.349711;0.338788
-0.252525;0.385472;0.375496
-0.232323;0.425649;0.418060
-0.212121;0.470614;0.467144
-0.191919;0.520610;0.523376
-0.171717;0.575649;0.585989
-0.151515;0.635356;0.652412
-0.131313;0.698774;0.719948
-0.111111;0.764151;0.785905
-0.090909;0.828767;0.847586
-0.070707;0.888899;0.902297
-0.050505;0.940054;0.947345
-0.030303;0.977558;0.980034
-0.010101;0.997456;0.997669
0.010101;0.997456;0.997669
0.030303;0.977558;0.980034
0.050505;0.940054;0.947345
0.070707;0.888899;0.902297
0.090909;0.828767;0.847586
0.111111;0.764151;0.785905
0.131313;0.698774;0.719948
0.151515;0.635356;0.652412
0.171717;0.575649;0.585989
0.191919;0.520610;0.523376
0.212121;0.470614;0.467144
0.232323;0.425649;0.418060
0.252525;0.385472;0.375496
0.272727;0.349711;0.338788
0.292929;0.317946;0.307273
0.313131;0.289748;0.280288
0.333333;0.264706;0.257170
0.353535;0.242443;0.237255
0.373737;0.222618;0.219881
0.393939;0.204930;0.204383
0.414141;0.189114;0.190134
0.434343;0.174937;0.176873
0.454545;0.162198;0.164556
0.474747;0.150724;0.153142
0.494949;0.140363;0.142589
0.515152;0.130984;0.132857
0.535354;0.122473;0.123903
0.555556;0.114731;0.115686
0.575758;0.107673;0.108165
0.595960;0.101223;0.101298
0.616162;0.095316;0.095045
0.636364;0.089896;0.089361
0.656566;0.084912;0.084202
0.676768;0.080319;0.079524
0.696970;0.076079;0.075283
0.717172;0.072158;0.071435
0.737374;0.068526;0.067935
0.757576;0.065155;0.064740
0.777778;0.062021;0.061805
0.797980;0.059104;0.059085
0.818182;0.056384;0.056541
0.838384;0.053844;0.054149
0.858586;0.051469;0.051892
0.878788;0.049245;0.049754
0.898990;0.047160;0.047717
0.919192;0.045202;0.045764
0.939394;0.043362;0.043880
0.959596;0.041631;0.042045
0.979798;0.040000;0.040245
1.000000;0.038462;0.038462
