x;f(x);Equidistant;Chebyshev
-1.000000;0.038462;0.038462;0.035265
-0.979798;0.040000;1.820709;0.043313
-0.959596;0.041631;2.138354;0.042143
-0.939394;0.043362;1.779464;0.040570
-0.919192;0.045202;1.202950;0.041515
-0.898990;0.047160;0.650851;0.044945
-0.878788;0.049245;0.228773;0.049677
-0.858586;0.051469;-0.037989;0.054412
-0.838384;0.053844;-0.166585;0.058229
-0.818182;0.056384;-0.192173;0.060742
-0.797980;0.059104;-0.153145;0.062060
-0.777778;0.062021;-0.083082;0.062643
-0.757576;0.065155;-0.007221;0.063128
-0.737374;0.068526;0.058230;0.064172
-0.717172;0.072158;0.105128;0.066319
-0.696970;0.076079;0.131625;0.069920
-0.676768;0.080319;0.140167;0.075098
-0.656566;0.084912;0.135609;0.081750
-0.636364;0.089896;0.123651;0.089591
-0.616162;0.095316;0.109676;0.098209
-0.595960;0.101223;0.098013;0.107140
-0.575758;0.107673;0.091561;0.115943
-0.555556;0.114731;0.091728;0.124266
-0.535354;0.122473;0.098596;0.131902
-0.515152;0.130984;0.111229;0.138830
-0.494949;0.140363;0.128050;0.145231
-0.474747;0.150724;0.147234;0.151486
-0.454545;0.162198;0.167053;0.158161
-0.434343;0.174937;0.186151;0.165965
-0.414141;0.189114;0.203730;0.175705
-0.393939;0.204930;0.219635;0.188223
-0.373737;0.222618;0.234348;0.204338
-0.353535;0.242443;0.248897;0.224776
-0.333333;0.264706;0.264706;0.250118
-0.313131;0.289748;0.283405;0.280739
-0.292929;0.317946;0.306620;0.316777
-0.272727;0.349711;0.335768;0.358099
-0.252525;0.385472;0.371874;0.404287
-0.232323;0.425649;0.415426;0.454647
-0.212121;0.470614;0.466285;0.508220
-0.191919;0.520610;0.523645;0.563818
-0.171717;0.575649;0.586055;0.620069
-0.151515;0.635356;0.651494;0.675469
-0.131313;0.698774;0.717493;0.728447
-0.111111;0.764151;0.781296;0.777430
-0.090909;0.828767;0.840047;0.820916
-0.070707;0.888899;0.890978;0.857531
-0.050505;0.940054;0.931605;0.886098
-0.030303;0.977558;0.959896;0.905683
-0.010101;0.997456;0.974415;0.915640
0.010101;0.997456;0.974415;0.915640
0.030303;0.977558;0.959896;0.905683
0.050505;0.940054;0.931605;0.886098
0.070707;0.888899;0.890978;0.857531
0.090909;0.828767;0.840047;0.820916
0.111111;0.764151;0.781296;0.777430
0.131313;0.698774;0.717493;0.728447
0.151515;0.635356;0.651494;0.675469
0.171717;0.575649;0.586055;0.620069
0.191919;0.520610;0.523645;0.563818
0.212121;0.470614;0.466285;0.508220
0.232323;0.425649;0.415426;0.454647
0.252525;0.385472;0.371874;0.404287
0.272727;0.349711;0.335768;0.358099
0.292929;0.317946;0.306620;0.316777
0.313131;0.289748;0.283405;0.280739
0.333333;0.264706;0.264706;0.250118
0.353535;0.242443;0.248897;0.224776
0.373737;0.222618;0.234348;0.204338
0.393939;0.204930;0.219635;0.188223
0.414141;0.189114;0.203730;0.175705
0.434343;0.174937;0.186151;0.165965
0.454545;0.162198;0.167053;0.158161
0.474747;0.150724;0.147234;0.151486
0.494949;0.140363;0.128050;0.145231
0.515152;0.130984;0.111229;0.138830
0.535354;0.122473;0.098596;0.131902
0.555556;0.114731;0.091728;0.124266
0.575758;0.107673;0.091561;0.115943
0.595960;0.101223;0.098013;0.107140
0.616162;0.095316;0.109676;0.098209
0.636364;0.089896;0.123651;0.089591
0.656566;0.084912;0.135609;0.081750
0.676768;0.080319;0.140167;0.075098
0.696970;0.076079;0.131625;0.069920
0.717172;0.072158;0.105128;0.066319
0.737374;0.068526;0.058230;0.064172
0.757576;0.065155;-0.007221;0.063128
0.777778;0.062021;-0.083082;0.062643
0.797980;0.059104;-0.153145;0.062060
0.818182;0.056384;-0.192173;0.060742
0.838384;0.053844;-0.166585;0.058229
0.858586;0.051469;-0.037989;0.054412
0.878788;0.049245;0.228773;0.049677
0.898990;0.047160;0.650851;0.044945
0.919192;0.045202;1.202950;0.041515
0.939394;0.043362;1.779464;0.040570
0.959596;0.041631;2.138354;0.042143
0.979798;0.040000;1.820709;0.043313
1.000000;0.038462;0.038462;0.035265
